Date,Open,High,Low,Close,Adj Close,Volume
2017-10-12,150200,154400,150200,153600,152404.2969,572635
2017-10-13,153600,153600,151600,152400,151213.6406,365215
2017-10-16,152800,153400,151800,152400,151213.6406,326530
2017-10-17,153400,154400,152800,153600,152404.2969,464470
2017-10-18,153600,163400,153600,163000,161731.1563,1098155
2017-10-19,163600,165200,161000,162200,160937.3594,896165
2017-10-20,163600,164600,158400,160200,158952.9375,515455
2017-10-23,161200,162400,158600,159800,158556.0469,324350
2017-10-24,159400,162000,159000,160200,158952.9375,277285
2017-10-25,160000,162200,159000,160800,159548.2656,466290
2017-10-26,168800,170800,166000,168000,166692.2188,1711705
2017-10-27,172000,175800,172000,175800,174431.5,1183225
2017-10-30,177400,179800,174000,175200,173836.1875,528590
2017-10-31,175000,179200,173600,178800,177408.1563,655095
2017-11-01,174000,175800,170600,172000,170661.0781,1160390
2017-11-02,172000,174600,171000,171200,169867.2969,352770
2017-11-03,170400,173600,170000,172600,171256.3906,314870
2017-11-06,172000,174800,171000,172200,170859.5156,322075
2017-11-07,174400,174400,170000,172000,170661.0781,422140
2017-11-08,170800,171200,168400,169800,168478.2188,513455
2017-11-09,168600,168800,164800,165000,163715.5781,883010
2017-11-10,164400,166000,161400,162800,161532.7031,786245
2017-11-13,162200,164800,161400,163800,162524.9063,470865
2017-11-14,164400,164400,160400,161000,159746.7031,592160
2017-11-15,161000,161600,158400,161000,159746.7031,455915
2017-11-16,null,null,null,null,null,null
2017-11-17,161400,164400,160400,161000,159746.7031,726375
2017-11-20,161600,161800,159200,160200,158952.9375,429465
2017-11-21,160400,162000,159600,161600,160342.0469,398410
2017-11-22,162800,163000,159600,160200,158952.9375,477160
2017-11-23,null,null,null,null,null,null
2017-11-24,160000,162400,159400,162000,160738.9219,341275
2017-11-27,161600,161800,157600,159000,157762.2656,586930
2017-11-28,159800,162200,159200,161400,160143.5938,476860
2017-11-29,161000,162800,160400,162400,161135.8281,459090
2017-11-30,162200,162200,160000,160000,158754.5,786660
2017-12-01,161800,166600,160200,166200,164906.2344,766425
2017-12-04,167400,169600,165600,167800,166493.7656,680135
2017-12-05,168000,168600,166200,166600,165303.125,320020
2017-12-06,166600,166800,164800,165200,163914,345995
2017-12-07,166800,169600,165800,167400,166096.8906,775000
2017-12-08,167000,167600,164200,166000,164707.7813,294465
2017-12-11,166000,167000,164000,165200,163914,288000
2017-12-12,164400,169000,164400,165600,164310.9063,365095
2017-12-13,165800,168400,164800,168200,166890.6719,358000
2017-12-14,168400,169800,167000,167000,165700,715485
2017-12-15,168200,168800,167400,168800,167485.9844,455680
2017-12-18,168800,173000,168000,172000,170661.0781,590485
2017-12-19,172600,174000,170000,171000,169668.875,398335
2017-12-21,169800,170600,166800,168400,167089.0938,413485
2017-12-22,170000,172800,168600,172400,171057.9688,437290
2017-12-26,173000,176000,171800,174800,173439.2813,519025
2017-12-27,174400,175600,173200,175400,174323.0156,286780
2017-12-28,176000,176200,172000,174000,172931.6094,326850
2018-01-02,null,null,null,null,null,null
2018-01-03,175200,176800,172800,174200,173130.375,423950
2018-01-04,175800,179400,174600,178600,177503.3594,650560
2018-01-05,178600,183600,176000,181600,180484.9688,684055
2018-01-08,183000,190600,181600,190000,188833.375,981690
2018-01-09,188800,190400,186600,188800,187640.7344,390135
2018-01-10,188600,195000,185400,185600,184460.375,600485
2018-01-11,185600,186800,181800,183400,182273.9063,469270
2018-01-12,184000,186000,180200,181800,180683.7188,447070
2018-01-15,183400,185000,182200,184200,183068.9844,296000
2018-01-16,183800,184800,178600,180600,179491.0781,476510
2018-01-17,180600,181200,177600,177600,176509.5156,535130
2018-01-18,178600,181200,178600,180600,179491.0781,451540
2018-01-19,181000,181400,176000,176200,175118.1094,502825
2018-01-22,176800,178600,176400,178600,177503.3594,377715
2018-01-23,179800,179800,176800,177800,176708.2813,402375
2018-01-24,177800,177800,174000,175600,174521.7813,590605
2018-01-25,175600,184400,173400,182600,181478.8125,845950
2018-01-26,182600,185800,182000,185400,184261.625,556845
2018-01-29,184600,189600,184400,186400,185255.4688,514580
2018-01-30,185600,190000,184600,186200,185056.7031,510590
2018-01-31,186600,189000,182000,182000,180882.4844,625920
2018-02-01,182000,186400,181800,184600,183466.5313,403035
2018-02-02,186000,186400,180400,181000,179888.6406,410755
2018-02-05,181000,181000,175400,175800,174720.5781,484835
2018-02-06,172800,175600,167600,170200,169154.9375,772695
2018-02-07,174000,174400,168000,168600,167564.7813,478815
2018-02-08,172000,172000,168400,168600,167564.7813,514750
2018-02-09,163400,166000,161200,161600,160607.75,790350
2018-02-12,163400,163400,159600,160000,159017.5781,953715
2018-02-13,162600,164400,160600,161000,160011.4375,685125
2018-02-14,162400,163800,161600,162200,161204.0625,370820
2018-02-19,166000,166000,163000,164000,162993,416685
2018-02-20,163600,163600,160800,161400,160408.9844,336005
2018-02-21,162000,167200,161800,166600,165577.0469,707840
2018-02-22,166200,167400,163800,165400,164384.4219,361210
2018-02-23,166200,168400,164000,165800,164781.9531,354320
2018-02-26,166800,166800,161600,162000,161005.2969,635640
2018-02-27,162000,162600,160200,160800,159812.6563,714890
2018-02-28,161600,163600,160400,160600,159613.8906,1951325
2018-03-02,158800,160000,154400,157200,156234.7656,1086525
2018-03-05,157200,158000,155800,155800,154843.3594,395610
2018-03-06,157200,160000,156400,159200,158222.5,390060
2018-03-07,160800,161000,158200,159000,158023.7188,360550
2018-03-08,159600,159800,158200,159800,158818.8125,396090
2018-03-09,160600,162800,159400,160400,159415.125,429025
2018-03-12,161600,163000,160800,161200,160210.2031,345055
2018-03-13,161200,165200,160600,164000,162993,606115
2018-03-14,162600,162800,160200,161800,160806.5313,376640
2018-03-15,162600,164800,161400,164000,162993,341525
2018-03-16,163200,163400,159400,160200,159216.3438,717990
2018-03-19,160200,160400,156400,157000,156036,600070
2018-03-20,155400,159200,154800,159000,158023.7188,441955
2018-03-21,159000,159600,158400,158800,157824.9375,424565
2018-03-22,159800,161000,159600,160600,159613.8906,336730
2018-03-23,157600,158400,156000,156600,155638.4531,489340
2018-03-26,155600,158000,155400,157800,156831.0938,276195
2018-03-27,160000,160000,157200,157800,156831.0938,283160
2018-03-28,157400,158600,155400,156800,155837.2188,262300
2018-03-29,156800,158000,155600,157200,156234.7656,337800
2018-03-30,158800,159800,157200,158400,157427.4063,288805
2018-04-02,156600,158400,156400,157000,156036,398100
2018-04-03,159600,159800,156000,157000,156036,341015
2018-04-04,156400,157200,149400,150800,149874.0625,829645
2018-04-05,152800,155800,152400,155800,154843.3594,472310
2018-04-06,155200,156400,153200,154000,153054.4219,384070
2018-04-09,153800,154800,152800,154800,153849.5,290395
2018-04-10,154200,156600,153800,155000,154048.2656,395640
2018-04-11,154400,156200,153800,154200,153253.1875,308250
2018-04-12,153800,154200,151000,151400,150470.375,559025
2018-04-13,151600,153200,150600,152800,151861.7969,341355
2018-04-16,153000,153000,150000,150200,149277.7656,392100
2018-04-17,150800,151600,149000,149600,148681.4375,442125
2018-04-18,150200,151600,150000,150400,149476.5156,416345
2018-04-19,148400,149600,146800,147600,146693.7188,622595
2018-04-20,147600,149000,145200,145600,144706,479485
2018-04-23,145400,147600,145400,147000,146097.4063,312160
2018-04-24,147000,147000,144400,145000,144109.6719,497990
2018-04-25,145200,150200,144800,148600,147687.5625,618915
2018-04-26,146400,149200,145000,145000,144109.6719,1071125
2018-04-27,145000,145400,142400,143200,142320.7344,1049185
2018-04-30,144200,144200,142400,143200,142320.7344,398655
2018-05-02,145200,147800,144800,147600,146693.7188,509325
2018-05-03,147800,149000,145200,145400,144507.2188,316640
2018-05-04,145000,147000,143400,143400,142519.5,511785
2018-05-08,145400,147600,144200,146200,145302.3125,487275
2018-05-09,146000,148000,144600,145400,144507.2188,475655
2018-05-10,146000,147000,143600,144000,143115.8125,416805
2018-05-11,144200,145800,142800,143400,142519.5,547725
2018-05-14,144000,144400,142800,143400,142519.5,288745
2018-05-15,142800,143600,142200,142200,141326.875,399725
2018-05-16,142400,143000,139600,140000,139140.3906,620065
2018-05-17,140000,140600,139400,139400,138544.0625,461815
2018-05-18,139400,140000,136800,137600,136755.1094,565205
2018-05-21,137200,138000,135200,136400,135562.4844,505590
2018-05-23,136000,137600,135400,136800,135960.0313,430280
2018-05-24,136400,137000,135600,136000,135164.9375,222435
2018-05-25,137000,138800,136400,137000,136158.7969,378775
2018-05-28,137000,137400,135800,136000,135164.9375,270430
2018-05-29,135800,136000,133400,133600,132779.6875,467685
2018-05-30,133400,134000,129600,130400,129599.3281,669825
2018-05-31,132000,134200,130800,133800,132978.4375,1050965
2018-06-01,134800,137200,134400,136000,135164.9375,457305
2018-06-04,136200,137400,134200,134600,133773.5313,409355
